Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
386,669,29,151,1,301,2,13,0,1334,1831,0.9841616602949208
387,660,27,149,1,299,2,12,0,1350,1840,0.9853260869565217
388,664,27,148,1,292,2,13,0,1353,1836,0.9852941176470589
389,652,28,148,1,292,2,13,0,1364,1848,0.9848484848484849
390,655,28,140,1,295,2,13,0,1366,1845,0.9848238482384823
391,661,28,142,1,289,2,13,0,1364,1839,0.9847743338771071
392,668,28,142,1,280,2,13,0,1366,1832,0.9847161572052402
393,656,28,140,1,288,2,13,0,1372,1844,0.9848156182212582
394,660,28,141,1,275,2,12,0,1381,1840,0.9847826086956522
395,639,28,143,1,275,2,12,0,1400,1861,0.984954325631381
396,632,28,143,1,274,2,12,0,1408,1868,0.9850107066381156
397,649,28,136,1,267,2,13,0,1404,1851,0.9848730415991356
398,664,28,134,1,259,2,13,0,1399,1836,0.9847494553376906
399,663,27,136,1,250,2,13,0,1408,1837,0.985302123026674
400,643,27,133,1,259,2,13,0,1422,1857,0.9854604200323102
401,633,27,130,1,261,2,13,0,1433,1867,0.9855382967327263
402,615,26,131,1,254,2,14,0,1457,1885,0.9862068965517241
403,632,26,130,1,242,2,15,0,1452,1868,0.9860813704496788
404,635,26,128,1,244,2,18,0,1446,1865,0.986058981233244
405,621,25,124,1,244,2,17,0,1466,1879,0.9866950505588079
406,610,24,124,1,253,2,17,0,1469,1890,0.9873015873015873
407,622,24,121,1,246,2,17,0,1467,1878,0.987220447284345
408,627,24,117,1,241,2,18,0,1470,1873,0.98718633208756
409,633,24,117,1,233,2,18,0,1472,1867,0.9871451526513123
410,635,23,118,1,234,3,18,0,1468,1865,0.9876675603217158
411,621,23,114,1,234,3,18,0,1486,1879,0.9877594465141033
412,611,23,110,1,221,3,19,0,1512,1889,0.9878242456326098
413,614,24,105,1,220,3,21,0,1512,1886,0.9872746553552492
414,603,23,105,1,232,3,21,0,1512,1897,0.9878755930416447
415,602,23,107,1,223,3,22,0,1519,1898,0.987881981032666
416,602,23,104,1,220,3,23,0,1524,1898,0.987881981032666
417,587,23,107,1,217,3,22,0,1540,1913,0.9879769994772608
418,586,22,108,1,215,3,22,0,1543,1914,0.9885057471264368
419,587,22,104,1,212,3,22,0,1549,1913,0.9884997386304234
420,588,21,105,1,209,3,24,0,1549,1912,0.9890167364016736
421,581,21,104,1,201,3,24,0,1565,1919,0.9890568004168838
422,573,21,102,1,192,3,23,0,1585,1927,0.9891022314478464
423,565,20,97,1,200,3,23,0,1591,1935,0.9896640826873385
424,562,20,96,1,201,3,24,0,1593,1938,0.9896800825593395
425,564,20,95,1,203,3,25,0,1589,1936,0.9896694214876033
426,574,20,90,1,194,3,25,0,1593,1926,0.9896157840083074
